masp;admissao;nome_servidor;cpf;dt_nasc;situacao_funcional;sigla;setor;carreira;categoria_profissional;nivel;grau;dt_admissao;data_inicio;data_fim_prevista
14934228;3;Nicole Cardoso;04482547176;19/08/1988;CONTRATO TEMPORARIO;HAC;COORDENACAO DO AMBULATORIO;MED;MEDICO GENERALISTA;I;A;15/09/2021;15/09/2021 00:00;30/06/2023 00:00
14934228;2;Beatriz Cardoso;04482547177;20/08/1988;CONTRATO TEMPORARIO;HJK;NA;MEDRE;MEDICO;I;A;NA;01/03/2021 00:00;28/02/2023 00:00
14581797;1;Matheus Costa;04482547178;21/08/1988;CONTRATO TEMPORARIO;;(DESAT.)GERENCIA DE INFRAESTRUTURA PREDIAL;TOS;AUXILIAR ADMINISTRATIVO;I;A;04/02/2022;04/02/2022 00:00;03/02/2023 00:00
10482131;5;Paulo Ferreira;04482547179;22/08/1988;CONTRATO TEMPORARIO;HEM;COORDENACAO DE APOIO DIAGNOSTICO E TERAPEUTICO;AGAS;FARMACEUTICO;I;A;31/05/2021;31/05/2021 00:00;30/05/2023 00:00
15156359;1;Eduarda Almeida;04482547180;23/08/1988;CONTRATO TEMPORARIO;JXXIII;COORDENACAO DE URGENCIA E EMERGENCIA ADULTO;MED;MEDICO ORTOPEDISTA E TRAUMATOLOGISTA;III;A;03/03/2022;03/03/2022 00:00;02/03/2023 00:00
14053458;2;Victor Rocha;04482547181;24/08/1988;CONTRATO TEMPORARIO;HEM;COORDENACAO DA UNIDADE DE PACIENTES EXTERNOS;PENF;TECNICO DE ENFERMAGEM;II;A;04/07/2022;01/07/2022 00:00;30/06/2023 00:00
15068240;1;Matilde Martins;04482547182;25/08/1988;CONTRATO TEMPORARIO;DIGEPE;(DESAT.)GERENCIA DE PROVIMENTO E ADMINISTRACAO DE PESSOAL;TOS;AUXILIAR ADMINISTRATIVO;I;A;01/02/2022;01/02/2022 00:00;31/01/2023 00:00
14581128;3;Tiago Dias;04482547183;26/08/1988;CONTRATO TEMPORARIO;HIJPII;COORDENACAO DO SERVICO DE NUTRICAO E DIETETICA;AGAS;NUTRICIONISTA;I;A;09/02/2022;09/02/2022 00:00;08/02/2023 00:00
14983704;2;Victor Oliveira;04482547184;27/08/1988;CONTRATO TEMPORARIO;HRJP;COORDENACAO DE APOIO DIAGNOSTICO E TERAPEUTICO;TOS;TECNICO EM PATOLOGIA CLINICA;II;A;01/07/2022;01/07/2022 00:00;30/06/2023 00:00
14879266;3;Ryan Martins;04482547185;28/08/1988;CONTRATO TEMPORARIO;HEM;NA;MED;MEDICO GENERALISTA;I;A;NA;05/07/2022 00:00;31/12/2022 00:00
14879266;1;Joao Gomes;04482547186;29/08/1988;CONTRATO TEMPORARIO;HEM;NA;MEDRE;MEDICO;I;A;NA;01/03/2020 00:00;28/02/2023 00:00
14700843;1;Julieta Oliveira;04482547187;30/08/1988;CONTRATO TEMPORARIO;DIGEPE;(DESAT.)GERENCIA DE SAUDE E SEGURANCA DO TRABALHADOR;MED;MEDICO DO TRABALHO;III;A;01/02/2022;01/02/2022 00:00;31/01/2023 00:00
11237302;2;Rafaela Santos;04482547188;31/08/1988;CONTRATO TEMPORARIO;HGB-JA;COORDENACAO DA UNIDADE CIRURGICA;PENF;TECNICO DE ENFERMAGEM;II;A;17/11/2014;01/02/2021 00:00;30/06/2023 00:00
15066889;2;Paulo Rocha;04482547189;01/09/1988;CONTRATO TEMPORARIO;HRAD;NA;MED;MEDICO NEFROLOGISTA;III;A;NA;01/07/2022 00:00;27/12/2022 00:00
15066889;1;Livia Cunha;04482547190;02/09/1988;CONTRATO TEMPORARIO;HRAD;COORDENACAO DA UNIDADE DE PACIENTES EXTERNOS;MED;MEDICO NEFROLOGISTA;III;A;0000-00-00;03/01/2022 00:00;02/01/2023 00:00
14130561;4;Bruna Correia;04482547191;03/09/1988;CONTRATO TEMPORARIO;HJK;COORDENACAO DE INTERNACAO - ADULTO;MED;MEDICO CLINICO;III;A;03/08/2018;01/02/2021 00:00;31/01/2023 00:00
14649792;2;Leonardo Melo;04482547192;04/09/1988;CONTRATO TEMPORARIO;CSSFA;COORDENACAO DA UNIDADE DE INTERNACAO E PACIENTES EXTERNOS;MED;MEDICO GENERALISTA;I;A;03/05/2022;03/05/2022 00:00;02/05/2023 00:00
14649792;1;Arthur Correia;04482547193;05/09/1988;CONTRATO TEMPORARIO;CSSFA;COORDENACAO DA UNIDADE DE INTERNACAO E PACIENTES EXTERNOS;MED;MEDICO GENERALISTA;I;A;11/05/2018;01/02/2021 00:00;31/01/2023 00:00
14661136;3;João Lima;04482547194;06/09/1988;CONTRATO TEMPORARIO;HIJPII;COORDENACAO DAS UNIDADES DE INTERNACAO PEDIATRICA;PENF;TECNICO DE ENFERMAGEM;II;A;21/06/2022;21/06/2022 00:00;20/01/2023 00:00
14794192;2;Lara Souza;04482547195;07/09/1988;CONTRATO TEMPORARIO;HAC;COORDENACAO DO AMBULATORIO;MED;MEDICO CIRURGIAO GERAL;III;A;06/07/2019;01/02/2021 00:00;31/01/2023 00:00
14801567;3;Guilherme Pinto;04482547196;08/09/1988;CONTRATO TEMPORARIO;HJK;COORDENACAO DO LABORATORIO;AGAS;FARMACEUTICO BIOQUIMICO;I;A;09/03/2021;09/03/2021 00:00;08/03/2023 00:00
4547270;0;Beatrice Sousa;04482547197;09/09/1988;NA;HAC;COORDENACAO DO LABORATORIO;NA;;NA;NA;19/12/2022;NA;NA
14556559;3;Luana Pinto;04482547198;10/09/1988;CONTRATO TEMPORARIO;MOV;COORDENACAO DA UNIDADE DE NEONATOLOGIA;AGAS;FISIOTERAPEUTA RESPIRATORIA;III;A;21/09/2021;21/09/2021 00:00;30/06/2023 00:00
15262215;1;Luiza Pinto;04482547199;11/09/1988;CONTRATO TEMPORARIO;HRJP;COORDENACAO DAS UNIDADES CRITICAS;PENF;TECNICO DE ENFERMAGEM;II;A;02/07/2022;02/07/2022 00:00;01/07/2023 00:00
13930714;2;Vitór Barros;04482547200;12/09/1988;CONTRATO TEMPORARIO;CSSFA;COORDENACAO DA UNIDADE DE INTERNACAO E PACIENTES EXTERNOS;MED;MEDICO GENERALISTA;I;A;28/05/2021;28/05/2021 00:00;27/05/2023 00:00
14880678;1;Vitoria Correia;04482547201;13/09/1988;CONTRATO TEMPORARIO;IRS;NA;MEDRE;MEDICO;I;A;NA;01/03/2020 00:00;28/02/2023 00:00
15067051;1;Miguel Fernandes;04482547202;14/09/1988;CONTRATO TEMPORARIO;HIJPII;COORDENACAO DA UNIDADE DE TERAPIA INTENSIVA PEDIATRICA;AGAS;ASSISTENTE SOCIAL;I;A;01/02/2022;01/02/2022 00:00;31/01/2023 00:00
15072598;1;Emily Dias;04482547203;15/09/1988;CONTRATO TEMPORARIO;HRJP;COORDENACAO DAS UNIDADES DE INTERNACAO;PENF;TECNICO DE ENFERMAGEM;II;A;01/02/2022;01/02/2022 00:00;31/01/2023 00:00
11592631;3;Tiago Lima;04482547204;16/09/1988;CONTRATO TEMPORARIO;MOV;COORDENACAO DA UNIDADE DE NEONATOLOGIA;PENF;ENFERMEIRO;IV;A;02/02/2022;02/02/2022 00:00;01/02/2023 00:00
14513402;2;Gabrielle Costa;04482547205;17/09/1988;CONTRATO TEMPORARIO;HGB-JA;COORDENACAO DE ENFERMAGEM E EQUIPE MULTIDISCIPLINAR;AGAS;ASSISTENTE SOCIAL;I;A;07/01/2022;07/01/2022 00:00;06/01/2023 00:00
15292014;1;Julian Cardoso;04482547206;18/09/1988;CONTRATO TEMPORARIO;HIJPII;COORDENACAO DO AMBULATORIO DE PEDIATRIA;MED;MEDICO NEUROLOGISTA;III;A;01/07/2022;01/07/2022 00:00;30/06/2023 00:00
13086558;3;Isabelle Martins;04482547207;19/09/1988;CONTRATO TEMPORARIO;CEPAI;COORDENACAO DE INTERNACAO E AMBULATORIO;PENF;TECNICO DE ENFERMAGEM;II;A;28/06/2022;28/06/2022 00:00;27/06/2023 00:00
14951578;2;Tiago Alves;04482547208;20/09/1988;CONTRATO TEMPORARIO;HEM;COORDENACAO DA UNIDADE DE PACIENTES EXTERNOS;PENF;TECNICO DE ENFERMAGEM;II;A;04/07/2022;04/07/2022 00:00;03/07/2023 00:00
14951578;1;Bianca Gomes;04482547209;21/09/1988;CONTRATO TEMPORARIO;HEM;COORDENACAO DAS UNIDADES CRITICAS;PENF;TECNICO DE ENFERMAGEM;II;A;01/04/2021;01/04/2021 00:00;31/03/2023 00:00
14925689;1;Aline Ribeiro;04482547210;22/09/1988;CONTRATO TEMPORARIO;MOV;NA;MEDRE;MEDICO;I;A;NA;01/03/2021 00:00;28/02/2023 00:00
15289440;1;Rafaela Fernandes;04482547211;23/09/1988;CONTRATO TEMPORARIO;HEM;NA;AGAS;FARMACEUTICO BIOQUIMICO;I;A;NA;03/07/2022 00:00;29/12/2022 00:00
14811111;3;Isabella Costa;04482547212;24/09/1988;CONTRATO TEMPORARIO;HEM;COORDENACAO DAS UNIDADES DE INTERNACAO;MED;MEDICO INFECTOLOGISTA;III;A;24/05/2021;24/05/2021 00:00;23/05/2023 00:00
14930424;2;Sophia Martins;04482547213;25/09/1988;CONTRATO TEMPORARIO;HEM;NA;MED;MEDICO GENERALISTA;I;A;NA;01/07/2022 00:00;27/12/2022 00:00
14930424;1;Bianca Correia;04482547214;26/09/1988;CONTRATO TEMPORARIO;HEM;NA;MEDRE;MEDICO;I;A;NA;01/03/2021 00:00;28/02/2023 00:00
15119571;1;Isabelle Ferreira;04482547215;27/09/1988;CONTRATO TEMPORARIO;HIJPII;NA;MEDRE;MEDICO;I;A;NA;01/03/2022 00:00;28/02/2023 00:00
14613004;2;Rafaela Cunha;04482547216;28/09/1988;CONTRATO TEMPORARIO;MOV;COORDENACAO DA GINECOLOGIA E OBSTETRICIA;MED;MEDICO GINECOLOGISTA;III;A;01/07/2022;01/07/2022 00:00;27/12/2022 00:00
14540967;2;Marisa Cardoso;04482547217;29/09/1988;CONTRATO TEMPORARIO;HIJPII;COORDENACAO DE URGENCIA E EMERGENCIA PEDIATRICA;PENF;ENFERMEIRO;IV;A;04/07/2022;04/07/2022 00:00;30/06/2023 00:00
14939219;1;Pedro Barros;04482547218;30/09/1988;CONTRATO TEMPORARIO;HRAD;NA;MEDRE;MEDICO;I;A;NA;01/03/2021 00:00;28/02/2023 00:00
14925663;1;Sophia Ribeiro;04482547219;01/10/1988;CONTRATO TEMPORARIO;MOV;NA;MEDRE;MEDICO;I;A;NA;01/03/2021 00:00;28/02/2023 00:00
14896856;1;Lucas Goncalves;04482547220;02/10/1988;CONTRATO TEMPORARIO;HEM;COORDENACAO DAS UNIDADES CRITICAS;PENF;TECNICO DE ENFERMAGEM;II;A;01/07/2022;01/07/2022 00:00;30/06/2023 00:00
14904023;1;João Ribeiro;04482547221;03/10/1988;CONTRATO TEMPORARIO;HJK;COORDENACAO DO LABORATORIO;PENF;TECNICO DE ENFERMAGEM;II;A;08/02/2022;10/02/2022 00:00;09/02/2023 00:00
12535308;3;Fernanda Fernandes;04482547222;04/10/1988;CONTRATO TEMPORARIO;HEM;COORDENACAO DAS UNIDADES DE INTERNACAO;PENF;ENFERMEIRO;IV;A;03/07/2022;03/07/2022 00:00;02/07/2023 00:00
15126048;1;Nicolash Pereira;04482547223;05/10/1988;CONTRATO TEMPORARIO;JXXIII;NA;MEDRE;MEDICO;I;A;NA;01/03/2022 00:00;28/02/2023 00:00
12397766;3;Yasmin Ribeiro;04482547224;06/10/1988;CONTRATO TEMPORARIO;HRJP;COORDENACAO DAS UNIDADES DE INTERNACAO;PENF;TECNICO DE ENFERMAGEM;II;A;02/07/2022;02/07/2022 00:00;01/07/2023 00:00
12397766;2;Melissa Oliveira;04482547225;07/10/1988;CONTRATO TEMPORARIO;HRJP;COORDENACAO DAS UNIDADES DE INTERNACAO;PENF;TECNICO DE ENFERMAGEM;II;A;28/06/2022;28/06/2022 00:00;27/06/2023 00:00
14051783;2;Alice Santos;04482547226;08/10/1988;CONTRATO TEMPORARIO;CSSFE;COORDENACAO DA UNIDADE DE CUIDADO AO ADULTO;PENF;TECNICO DE ENFERMAGEM;II;A;01/07/2021;01/07/2021 00:00;30/06/2023 00:00
13775747;2;Júlio Araujo;04482547227;09/10/1988;CONTRATO TEMPORARIO;HJK;COORDENACAO MEDICA DA URGENCIA E EMERGENCIA;PENF;TECNICO DE ENFERMAGEM;II;A;05/07/2022;05/07/2022 00:00;04/07/2023 00:00
11262375;4;Martim Araujo;04482547228;10/10/1988;CONTRATO TEMPORARIO;HGB-JA;COORDENACAO DA UNIDADE DE URGENCIA E EMERGENCIA;PENF;ENFERMEIRO;IV;A;11/06/2022;11/06/2022 00:00;10/06/2023 00:00
15105836;1;André Costa;04482547229;11/10/1988;CONTRATO TEMPORARIO;MOV;COORDENACAO DE APOIO DIAGNOSTICO E TERAPEUTICO;TOS;TECNICO EM PATOLOGIA CLINICA;II;A;23/02/2022;23/02/2022 00:00;22/02/2023 00:00
14352421;4;Rafael Correia;04482547230;12/10/1988;CONTRATO TEMPORARIO;JXXIII;COORDENACAO DE URGENCIA E EMERGENCIA PEDIATRICA;AGAS;ASSISTENTE SOCIAL;I;A;02/02/2022;02/02/2022 00:00;01/02/2023 00:00
14352421;3;Maria Martins;04482547231;13/10/1988;CONTRATO TEMPORARIO;JXXIII;GERENCIA DA EQUIPE MULTIDISCIPLINAR;AGAS;ASSISTENTE SOCIAL;I;A;31/05/2021;31/05/2021 00:00;30/05/2023 00:00
14678973;3;Anna Castro;04482547232;14/10/1988;CONTRATO TEMPORARIO;MGT;GERENCIA ADMINISTRATIVA;TOS;AUXILIAR ADMINISTRATIVO;I;A;28/03/2022;28/03/2022 00:00;27/03/2023 00:00
14179121;4;Douglas Cunha;04482547233;15/10/1988;CONTRATO TEMPORARIO;JXXIII;COORDENACAO DE URGENCIA E EMERGENCIA ADULTO;MED;MEDICO CIRURGIAO CARDIOVASCULAR;III;A;06/03/2022;06/03/2022 00:00;05/03/2023 00:00
10905404;4;Anna Martins;04482547234;16/10/1988;CONTRATO TEMPORARIO;HJK;COORDENACAO MEDICA DA URGENCIA E EMERGENCIA;PENF;ENFERMEIRO;IV;A;02/02/2022;02/02/2022 00:00;01/02/2023 00:00
15071921;1;Beatriz Rocha;04482547235;17/10/1988;CONTRATO TEMPORARIO;HRJP;COORDENACAO DAS UNIDADES CRITICAS;PENF;TECNICO DE ENFERMAGEM;II;A;01/02/2022;01/02/2022 00:00;31/01/2023 00:00
12292983;2;Júlia Carvalho;04482547236;18/10/1988;CONTRATO TEMPORARIO;JXXIII;NA;TOS;TECNICO EM PATOLOGIA CLINICA;II;A;NA;01/02/2022 00:00;31/01/2023 00:00
14710081;2;Luís Dias;04482547237;19/10/1988;CONTRATO TEMPORARIO;HJK;COORDENACAO MEDICA DA TERAPIA INTENSIVA NEONATAL;MED;MEDICO PEDIATRA;III;A;08/04/2022;08/04/2022 00:00;07/04/2023 00:00
14946958;1;Isabela Barbosa;04482547238;20/10/1988;CONTRATO TEMPORARIO;HJK;NA;PENF;TECNICO DE ENFERMAGEM;II;A;NA;01/02/2022 00:00;31/01/2023 00:00
14678924;3;Martim Carvalho;04482547239;21/10/1988;CONTRATO TEMPORARIO;HIJPII;COORDENACAO DAS UNIDADES DE INTERNACAO PEDIATRICA;TOS;PROFESSOR RECREADOR;II;A;01/02/2022;01/02/2022 00:00;31/01/2023 00:00
11231461;3;Tomás Cardoso;04482547240;22/10/1988;CONTRATO TEMPORARIO;;GERENCIA ASSISTENCIAL;TOS;AUXILIAR ADMINISTRATIVO;I;A;01/02/2022;01/02/2022 00:00;31/01/2023 00:00
11459104;3;Luiz Lima;04482547241;23/10/1988;CONTRATO TEMPORARIO;HEM;COORDENACAO DE APOIO DIAGNOSTICO E TERAPEUTICO;TOS;TECNICO EM PATOLOGIA CLINICA;II;A;28/03/2022;28/03/2022 00:00;27/03/2023 00:00
14889109;2;Bianca Oliveira;04482547242;24/10/1988;CONTRATO TEMPORARIO;HEM;COORDENACAO DAS UNIDADES CRITICAS;PENF;TECNICO DE ENFERMAGEM;II;A;01/07/2022;01/07/2022 00:00;30/06/2023 00:00
11343985;2;Carolina Souza;04482547243;25/10/1988;CONTRATO TEMPORARIO;HIJPII;COORDENACAO DE COMPRAS E CONTRATOS;TOS;AUXILIAR ADMINISTRATIVO;I;A;07/02/2022;07/02/2022 00:00;06/02/2023 00:00
11738770;5;Yasmin Souza;04482547244;26/10/1988;CONTRATO TEMPORARIO;HIJPII;COORDENACAO DAS UNIDADES DE INTERNACAO PEDIATRICA;AGAS;ASSISTENTE SOCIAL;I;A;30/08/2021;30/08/2021 00:00;30/06/2023 00:00
14904080;2;Melissa Pereira;04482547245;27/10/1988;CONTRATO TEMPORARIO;JXXIII;NA;PENF;TECNICO DE ENFERMAGEM;II;A;NA;10/03/2022 00:00;09/03/2023 00:00
15101439;1;Murilo Santos;04482547246;28/10/1988;CONTRATO TEMPORARIO;HGB-JA;COORDENACAO DE SAUDE MENTAL;PENF;TECNICO DE ENFERMAGEM;II;A;02/02/2022;02/02/2022 00:00;01/02/2023 00:00
15066871;1;Thaís Lima;04482547247;29/10/1988;CONTRATO TEMPORARIO;HRAD;COORDENACAO DAS UNIDADES DE INTERNACAO;PENF;TECNICO DE ENFERMAGEM;II;A;0000-00-00;01/02/2022 00:00;31/01/2023 00:00
12337267;2;Tiago Dias;04482547248;30/10/1988;CONTRATO TEMPORARIO;HAC;COORDENACAO DA INFRAESTRUTURA;TOS;AUXILIAR ADMINISTRATIVO;I;A;04/02/2022;04/02/2022 00:00;03/02/2023 00:00
14613442;1;Lucas Oliveira;04482547249;31/10/1988;CONTRATO TEMPORARIO;IRS;COORDENACAO DAS UNIDADES DE INTERNACAO;PENF;TECNICO DE ENFERMAGEM;II;A;02/02/2022;02/02/2022 00:00;01/02/2023 00:00
14958540;2;Kauan Souza;04482547250;01/11/1988;CONTRATO TEMPORARIO;HEM;COORDENACAO DAS UNIDADES DE INTERNACAO;PENF;TECNICO DE ENFERMAGEM;II;A;15/03/2022;15/03/2022 00:00;14/03/2023 00:00
14637706;2;Guilherme Pereira;04482547251;02/11/1988;CONTRATO TEMPORARIO;JXXIII;COORDENACAO DAS UNIDADES DE INTERNACAO ADULTO;PENF;TECNICO DE ENFERMAGEM;II;A;03/10/2022;03/10/2022 00:00;02/10/2023 00:00
2995207;6;Joao Santos;04482547252;03/11/1988;CONTRATO TEMPORARIO;JXXIII;COORDENACAO DE URGENCIA E EMERGENCIA ADULTO;MED;MEDICO CLINICO;III;A;10/02/2022;10/02/2022 00:00;09/02/2023 00:00
14958896;3;Julian Rodrigues;04482547253;04/11/1988;CONTRATO TEMPORARIO;HEM;COORDENACAO DAS UNIDADES CRITICAS;PENF;TECNICO DE ENFERMAGEM;II;A;04/07/2022;28/06/2022 00:00;27/06/2023 00:00
14958896;2;Rafaela Lima;04482547254;05/11/1988;CONTRATO TEMPORARIO;HJK;COORDENACAO MEDICA DA URGENCIA E EMERGENCIA;PENF;TECNICO DE ENFERMAGEM;II;A;03/02/2022;03/02/2022 00:00;02/02/2023 00:00
12557500;3;Thiago Dias;04482547255;06/11/1988;CONTRATO TEMPORARIO;HAC;COORDENACAO DO LABORATORIO;AGAS;FARMACEUTICO BIOQUIMICO;I;A;19/08/2021;19/08/2021 00:00;30/06/2023 00:00
14637599;2;Manuela Azevedo;04482547256;07/11/1988;CONTRATO TEMPORARIO;JXXIII;COORDENACAO DE FATURAMENTO;MED;MEDICO CLINICO;III;A;23/05/2022;23/05/2022 00:00;22/05/2023 00:00
14667042;1;Luiza Silva;04482547257;08/11/1988;CONTRATO TEMPORARIO;HRAD;COORDENACAO DE INFRAESTRUTURA;AGAS;ENGENHEIRO;III;A;0000-00-00;01/02/2022 00:00;31/01/2023 00:00
15289515;1;Amanda Cunha;04482547258;09/11/1988;CONTRATO TEMPORARIO;HEM;COORDENACAO DAS UNIDADES CRITICAS;PENF;TECNICO DE ENFERMAGEM;II;A;01/07/2022;01/07/2022 00:00;30/06/2023 00:00
12330577;1;Vitór Cunha;04482547259;10/11/1988;CONTRATO TEMPORARIO;HJK;COORDENACAO DA MATERNIDADE;PENF;TECNICO DE ENFERMAGEM;II;A;01/02/2022;01/02/2022 00:00;31/01/2023 00:00
14053391;2;Luiz Dias;04482547260;11/11/1988;CONTRATO TEMPORARIO;JXXIII;COORDENACAO DAS UNIDADES DE INTERNACAO ADULTO;PENF;ENFERMEIRO;IV;A;01/02/2022;01/02/2022 00:00;31/01/2023 00:00
15258361;1;João Pinto;04482547261;12/11/1988;CONTRATO TEMPORARIO;CSSFA;COORDENACAO DE GESTAO DA INFORMACAO E FINANCAS;TOS;TECNICO EM INFORMATICA;II;A;15/06/2022;15/06/2022 00:00;14/06/2023 00:00
14934236;1;Emily Azevedo;04482547262;13/11/1988;CONTRATO TEMPORARIO;HJK;NA;MEDRE;MEDICO;I;A;NA;01/03/2021 00:00;28/02/2023 00:00
15089873;1;Júlio Melo;04482547263;14/11/1988;CONTRATO TEMPORARIO;HGB-JA;COORDENACAO DE SAUDE MENTAL;PENF;TECNICO DE ENFERMAGEM;II;A;02/02/2022;02/02/2022 00:00;01/02/2023 00:00
14613525;2;Luis Cunha;04482547264;15/11/1988;CONTRATO TEMPORARIO;JXXIII;COORDENACAO DE LABORATORIO E AGENCIA TRANSFUSIONAL;TOS;TECNICO EM PATOLOGIA CLINICA;II;A;15/03/2022;15/03/2022 00:00;14/03/2023 00:00
15018468;1;Sophia Sousa;04482547265;16/11/1988;CONTRATO TEMPORARIO;JXXIII;COORDENACAO DA UNIDADE DE TERAPIA INTENSIVA ADULTO;PENF;TECNICO DE ENFERMAGEM;II;A;13/09/2021;13/09/2021 00:00;30/06/2023 00:00
14909170;2;Brenda Fernandes;04482547266;17/11/1988;CONTRATO TEMPORARIO;JXXIII;COORDENACAO DA UNIDADE DE TERAPIA INTENSIVA ADULTO;PENF;TECNICO DE ENFERMAGEM;II;A;21/05/2021;21/05/2021 00:00;20/05/2023 00:00
12456745;2;Mateus Melo;04482547267;18/11/1988;CONTRATO TEMPORARIO;JXXIII;COORDENACAO DAS UNIDADES DE INTERNACAO ADULTO;PENF;TECNICO DE ENFERMAGEM;II;A;01/02/2022;01/02/2022 00:00;31/01/2023 00:00
15090384;1;Marisa Almeida;04482547268;19/11/1988;CONTRATO TEMPORARIO;HGB-JA;COORDENACAO DA UNIDADE DE URGENCIA E EMERGENCIA;PENF;TECNICO DE ENFERMAGEM;II;A;02/02/2022;02/02/2022 00:00;01/02/2023 00:00
12466553;2;Emilly Dias;04482547269;20/11/1988;CONTRATO TEMPORARIO;HCM;COORDENACAO DE SUPRIMENTOS E FINANCAS;TOS;AUXILIAR ADMINISTRATIVO;I;A;16/12/2021;16/12/2021 00:00;30/06/2023 00:00
15082795;1;Arthur Castro;04482547270;21/11/1988;CONTRATO TEMPORARIO;HGB-JA;COORDENACAO DA UNIDADE DE URGENCIA E EMERGENCIA;PENF;TECNICO DE ENFERMAGEM;II;A;01/02/2022;01/02/2022 00:00;31/01/2023 00:00
14946503;2;Thaís Cunha;04482547271;22/11/1988;CONTRATO TEMPORARIO;HGB-JA;COORDENACAO DA UNIDADE DE CLINICA MEDICA;PENF;TECNICO DE ENFERMAGEM;II;A;24/03/2021;02/02/2022 00:00;01/02/2023 00:00
14979751;2;Bruno Cunha;04482547272;23/11/1988;CONTRATO TEMPORARIO;HJK;COORDENACAO DE INTERNACAO - ADULTO;PENF;TECNICO DE ENFERMAGEM;II;A;21/11/2022;21/11/2022 00:00;20/11/2023 00:00
14667026;2;Cauã Silva;04482547273;24/11/1988;CONTRATO TEMPORARIO;HIJPII;COORDENACAO DAS UNIDADES DE INTERNACAO PEDIATRICA;PENF;ENFERMEIRO;IV;A;04/02/2022;04/02/2022 00:00;03/02/2023 00:00
14113997;3;Julian Fernandes;04482547274;25/11/1988;CONTRATO TEMPORARIO;JXXIII;NA;AGAS;FISIOTERAPEUTA RESPIRATORIA;III;A;NA;02/02/2022 00:00;01/02/2023 00:00
15066863;1;Kauan Goncalves;04482547275;26/11/1988;CONTRATO TEMPORARIO;HRAD;COORDENACAO DE APOIO DIAGNOSTICO E TERAPEUTICO;TOS;TECNICO EM RADIOLOGIA;II;A;0000-00-00;04/02/2022 00:00;03/02/2023 00:00
14338529;1;Gabrielly Santos;04482547276;27/11/1988;CONTRATO TEMPORARIO;HJK;COORDENACAO DO AMBULATORIO;TOS;AUXILIAR ADMINISTRATIVO;I;A;01/02/2022;01/02/2022 00:00;31/01/2023 00:00
13979695;2;Samuel Gomes;04482547277;28/11/1988;CONTRATO TEMPORARIO;HJK;COORDENACAO DO SERVIÇO DE NUTRICAO E DIETETICA;AGAS;NUTRICIONISTA;I;A;01/02/2022;01/02/2022 00:00;31/01/2023 00:00
11054434;3;Breno Souza;04482547278;29/11/1988;CONTRATO TEMPORARIO;HRAD;COORDENACAO DE ASSISTENCIA FARMACEUTICA;AGAS;FARMACEUTICO;I;A;0000-00-00;30/06/2021 00:00;29/06/2023 00:00
14329940;2;Maria Ferreira;04482547279;30/11/1988;CONTRATO TEMPORARIO;HEM;COORDENACAO DE ASSISTENCIA FARMACEUTICA;AGAS;FARMACEUTICO;III;A;13/09/2016;01/02/2022 00:00;31/01/2023 00:00
14889547;3;Rafael Azevedo;04482547280;01/12/1988;CONTRATO TEMPORARIO;HAC;COORDENACAO DO SERVICO DE DIAGNOSTICO POR IMAGEM;PENF;ENFERMEIRO;IV;A;20/10/2022;20/10/2022 00:00;19/10/2023 00:00
14661144;2;Renan Rocha;04482547281;02/12/1988;CONTRATO TEMPORARIO;HCM;ASSESSORIA DE GESTAO ESTRATEGICA E QUALIDADE;TOS;AUXILIAR ADMINISTRATIVO;I;A;01/02/2022;01/02/2022 00:00;31/01/2023 00:00
14557128;2;Vinicius Rodrigues;04482547282;03/12/1988;CONTRATO TEMPORARIO;JXXIII;COORDENACAO DO CENTRO DE TRATAMENTO DE QUEIMADOS;PENF;ENFERMEIRO;IV;A;07/12/2021;07/12/2021 00:00;30/06/2023 00:00
12847075;2;Manuela Rocha;04482547283;04/12/1988;CONTRATO TEMPORARIO;CMT;GERENCIA ASSISTENCIAL;PENF;TECNICO DE ENFERMAGEM;II;A;01/02/2022;01/02/2022 00:00;31/01/2023 00:00
11877958;5;Lucas Martins;04482547284;05/12/1988;CONTRATO TEMPORARIO;JXXIII;COORDENACAO DO BLOCO CIRURGICO;MED;MEDICO CIRURGIAO PLASTICO;III;A;02/02/2022;02/02/2022 00:00;01/02/2023 00:00
15082738;1;Sarah Rodrigues;04482547285;06/12/1988;CONTRATO TEMPORARIO;JXXIII;COORDENACAO DA UNIDADE DE TERAPIA INTENSIVA ADULTO;PENF;TECNICO DE ENFERMAGEM;II;A;12/02/2022;12/02/2022 00:00;11/02/2023 00:00
15067150;1;Arthur Barbosa;04482547286;07/12/1988;CONTRATO TEMPORARIO;HEM;COORDENACAO DAS UNIDADES CRITICAS;PENF;ENFERMEIRO;IV;A;17/01/2022;17/01/2022 00:00;16/01/2023 00:00
10906576;5;Vitór Goncalves;04482547287;08/12/1988;CONTRATO TEMPORARIO;HIJPII;COORDENACAO DO AMBULATORIO DE PEDIATRIA;AGAS;ASSISTENTE SOCIAL;III;A;07/03/2022;07/03/2022 00:00;06/03/2023 00:00
13005665;5;Matheus Silva;04482547288;09/12/1988;CONTRATO TEMPORARIO;HAC;COORDENACAO DO SERVIÇO DE NUTRICAO E DIETETICA;AGAS;NUTRICIONISTA;I;A;06/04/2022;06/04/2022 00:00;05/04/2023 00:00
